Dose;Total;Mobile;Immobile;Exp,
0,047;5;5;0;Exp8
0,047;5;5;0;Exp8
0,047;5;5;0;Exp8
0,047;5;5;0;Exp8
0;5;5;0;Exp8,
0;5;5;0;Exp8,
0;5;5;0;Exp8,
0;5;5;0;Exp8,
0;5;5;0;Exp8,
0;5;5;0;Exp8,
0;5;5;0;Exp8,
0;5;5;0;Exp8,
1;5;0;5;Exp9,
1;5;0;5;Exp9,
1;5;0;5;Exp9,
1;5;0;5;Exp9,
0,5;5;0;5;Exp9
0,5;5;1;4;Exp9
0,5;4;3;1;Exp9
0,5;5;1;4;Exp9
0,25;5;4;1;Exp9
0,25;5;4;1;Exp9
0,25;5;2;3;Exp9
0,25;5;2;3;Exp9
0,125;5;4;1;Exp9
0,125;5;5;0;Exp9
0,125;4;2;2;Exp9
0,125;5;3;2;Exp9
0,063;5;5;0;Exp9
0,063;5;4;1;Exp9
0,063;5;4;1;Exp9
0,063;5;5;0;Exp9
0,031;4;4;0;Exp9
0,031;5;5;0;Exp9
0,031;5;5;0;Exp9
0,031;5;5;0;Exp9
0;5;5;0;Exp9,
0;5;5;0;Exp9,
0;5;5;0;Exp9,
0;5;5;0;Exp9,
0;5;5;0;Exp9,
0;5;5;0;Exp9,
0;4;4;0;Exp9,
0;5;5;0;Exp9,
